"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",2708,"We Are Happy To Deeply Discount 30% Now.",3008,"Chas.","City of Los Angeles","Hollywood",34.09768,-118.34602,"Private room",79,30,24,"202003",0.33,2,349
"2",5728,"Tiny Home in Artistic Oasis near Venice and LAX",9171,"Sanni","City of Los Angeles","Del Rey",33.9875,-118.432,"Private room",75,30,310,"202004",2.33,4,277
"3",5729,"Zen Room with Floating Bed near Venice and LAX",9171,"Sanni","City of Los Angeles","Del Rey",33.9875,-118.432,"Private room",105,30,230,"202004",1.75,4,272
"4",5843,"Artist Oasis near Venice Beach w/ Beautiful Garden",9171,"Sanni","City of Los Angeles","Del Rey",33.9875,-118.432,"Entire home/apt",303,1,127,"202003",1.15,4,119
"5",6033,"Poolside Serenity Studio",11619,"Sarah","City of Los Angeles","Woodland Hills",34.16825,-118.64438,"Entire home/apt",85,5,25,"202003",0.19,6,0
"6",6931,"We've Happily Discounted 30% During This Period.",3008,"Chas.","City of Los Angeles","Hollywood",34.09521,-118.34801,"Private room",99,30,19,"202003",0.14,2,277
"7",7992,"Lively,Walkable Area/CozyQuiet Spot/Central Locale",22363,"Tom","City of Los Angeles","Atwater Village",34.11543,-118.2609,"Entire home/apt",85,30,238,"202001",2.27,2,321
"8",8770,"Cozy Guest House on Venice Walk St.",26996,"Lillian","City of Los Angeles","Venice",33.99399,-118.45637,"Entire home/apt",121,3,401,"202002",3.12,1,70
"9",9373,"CA Bungalow w/ garden; private room",28997,"Doran","City of Los Angeles","East Hollywood",34.0928,-118.29004,"Private room",84,2,69,"201303",0.52,1,0
"10",9376,"Bright Apt, walk to Venice Beach",30319,"Cristina","City of Los Angeles","Venice",33.99638,-118.47734,"Private room",85,30,47,"202002",0.36,2,365
"11",10760,"CASAMIGOS",38596,"Debra","City of Los Angeles","Mid-Wilshire",34.05437,-118.35641,"Private room",74,30,45,"201906",0.36,1,87
"12",11511,"Craftsman Duplex-Hollywood!",40884,"Suzan And Michael","City of Los Angeles","Hollywood Hills",34.11479,-118.32289,"Entire home/apt",195,30,7,"201508",0.05,2,0
"13",11877,"Le petit bungalow private entrance + bikes in VB",30484,"Pascalou","City of Los Angeles","Venice",33.99753,-118.47226,"Entire home/apt",70,14,45,"201911",0.42,2,83
"14",12320,"1930's Spanish Duplex on 9th St",47757,"Lori","City of Los Angeles","Mid-Wilshire",34.05864,-118.34352,"Entire home/apt",145,31,10,"202001",0.44,1,0
"15",14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",55411,"HankBubbie","City of Los Angeles","Hollywood Hills",34.11959,-118.32056,"Entire home/apt",275,4,27,"202002",0.24,5,55
"16",14273,"Frogtown Skylight Yard LA River SilverLake Pets ok",56047,"Karen","City of Los Angeles","Elysian Valley",34.10249,-118.24824,"Entire home/apt",95,5,51,"201909",0.41,1,163
"17",15089,"*****Modern & Chic Spanish Bungalow @ Casa Redondo",59169,"Josh","City of Los Angeles","Mid-City",34.04244,-118.3522,"Entire home/apt",89,3,69,"202003",0.53,3,365
"18",15333,"The Enchanted Manor-Private Oasis",60057,"Georgia","City of Los Angeles","Valley Village",34.16701,-118.41118,"Private room",395,2,4,"202006",0.09,2,345
"19",15440,"Venice Beach Walkstreet Getaway",60473,"Madeleine","City of Los Angeles","Venice",33.99359,-118.46049,"Entire home/apt",140,2,822,"202003",6.49,1,293
"20",18041,"Bohemian home w/detached Studio & Rooftop Jacuzzi",69546,"Lisa","City of Los Angeles","Venice",33.99179,-118.45056,"Entire home/apt",300,2,2,"202002",0.26,3,0
"21",18067,"Bohemian home w/rooftop jacuzzi  & tiki bar",69546,"Lisa","City of Los Angeles","Venice",33.99065,-118.44962,"Entire home/apt",200,1,48,"201911",0.47,3,0
"22",19887,"Eco-friendly Private Room in Silverlake House",75052,"Janet","City of Los Angeles","Silver Lake",34.08521,-118.28338,"Private room",75,2,252,"202003",2.01,2,365
"23",20585,"Private Studio, 6 Doors to Beach",77857,"Barbara","City of Los Angeles","Venice",33.98065,-118.46519,"Entire home/apt",124,2,479,"202003",3.85,1,197
"24",20786,"Mondrian-Inspired Studio With Breathtaking Views And Light",55411,"HankBubbie","City of Los Angeles","Hollywood Hills",34.11939,-118.32044,"Entire home/apt",215,5,29,"202003",0.29,5,0
"25",22355,"Experience Angeleno Magazine's ""Best Rental In Hills""",55411,"HankBubbie","City of Los Angeles","Hollywood Hills",34.11821,-118.32178,"Entire home/apt",165,5,41,"202003",0.34,5,0
"26",23363,"Silver Lake foothills studio with huge deck",91335,"David","City of Los Angeles","Silver Lake",34.10312,-118.25778,"Entire home/apt",97,3,165,"202003",1.54,1,16
"27",23710,"Green Sputnik in Highland Park",94038,"Tatiana","City of Los Angeles","Highland Park",34.12003,-118.19038,"Entire home/apt",80,1,225,"202004",2.17,1,0
"28",23925,"Cactus Flower - Modernist Solar Guesthouse with Large Garden",95543,"Ecoboutiquehomes","City of Los Angeles","Venice",34.00416,-118.46602,"Entire home/apt",249,3,101,"202003",1.59,7,148
"29",23979,"Sleek New York Style Loft With Jaw-Dropping Hollywood Views",55411,"HankBubbie","City of Los Angeles","Hollywood Hills",34.11861,-118.32019,"Entire home/apt",175,7,24,"201911",0.2,5,77
"30",24030,"Beach Bungalow one block to ocean",96147,"Michaela","City of Los Angeles","Venice",33.98798,-118.47301,"Entire home/apt",130,30,450,"202002",3.67,1,0
"31",24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,"Zara","City of Los Angeles","Mount Washington",34.1078,-118.21864,"Entire home/apt",335,3,113,"202006",1.9,1,334
"32",25670,"Charming accommodations in Westwood/West LA",107370,"Sandra","City of Los Angeles","West Los Angeles",34.04727,-118.44058,"Entire home/apt",90,1,18,"201909",0.16,2,364
"33",25672,"Modern Studio with private garden and Aircondition",107473,"Claudia","City of Los Angeles","East Hollywood",34.08044,-118.29805,"Entire home/apt",130,2,220,"202003",1.79,1,204
"34",26082,"Asian Pacific Suite",11619,"Sarah","City of Los Angeles","Woodland Hills",34.16678,-118.64374,"Private room",69,29,30,"202003",0.27,6,0
"37",31237,"Charming & cozy room with breakfast!!",134109,"Jeffrey","City of Los Angeles","Los Feliz",34.10313,-118.28628,"Private room",90,30,186,"201810",1.55,1,365
"38",31939,"Downtown Deluxe 1",137490,"Jk","City of Los Angeles","Chinatown",34.0683,-118.24434,"Private room",79,1,355,"202003",2.95,3,313
"39",32850,"Privt CondoApt, Kitchenette, Pool, Gated Prkg,WiFi",130446,"Larry Or Carol","City of Los Angeles","Tarzana",34.17309,-118.53169,"Entire home/apt",49,60,130,"202002",3.35,1,0
"40",33399,"Lovely Master King Bed French Door",140939,"Kathy","City of Los Angeles","Mar Vista",34.00095,-118.43381,"Private room",65,31,94,"201808",0.83,2,365
"41",37466,"Arrival Haven; Home Away From Home",161668,"Lane","City of Los Angeles","Mid-Wilshire",34.05827,-118.34061,"Private room",75,31,43,"201906",0.37,2,344
"42",38365,"Modern Designer house Share / Private suite",3415,"Nataraj","City of Los Angeles","Hollywood Hills West",34.1083,-118.38053,"Private room",85,3,5,"201902",0.09,2,365
"43",40649,"Great Room for a Great Price",175264,"Michael","City of Los Angeles","Mid-City",34.04085,-118.38065,"Private room",43,30,13,"201908",0.12,2,365
"44",40667,"Nice room for a nice price",175264,"Michael","City of Los Angeles","Mid-City",34.04034,-118.38207,"Private room",46,30,12,"201808",0.11,2,365
"45",42165,"Downtown Deluxe 2",137490,"Jk","City of Los Angeles","Chinatown",34.06407,-118.24338,"Private room",79,1,270,"202001",2.25,3,352
"46",43318,"Arts District Private Room 212",57161,"Jefferson","City of Los Angeles","Downtown",34.04828,-118.23605,"Private room",45,2,82,"202002",0.69,27,352
"47",44062,"Heart of Hollywood- The Original",192939,"Lisa","City of Los Angeles","Hollywood",34.09179,-118.33111,"Entire home/apt",134,32,102,"202001",0.9,3,179
"48",44509,"Perfect Bedroom in Nice House with lovely pets!",195656,"Leanna","City of Los Angeles","Van Nuys",34.19684,-118.45929,"Private room",50,1,71,"202002",0.59,3,55
"49",45392,"Cute Home in Mount Washington",201514,"Olivia & Alexey","City of Los Angeles","Glassell Park",34.10837,-118.22412,"Private room",59,30,23,"202003",0.21,1,364
"50",45417,"Silver Lake Cottage Oasis- Private Terrace- Thirty Night Min",201467,"Robin","City of Los Angeles","Silver Lake",34.09553,-118.27614,"Entire home/apt",145,30,148,"202003",1.26,5,5
"51",46853,"Private Silverlake Guesthouse",75052,"Janet","City of Los Angeles","Silver Lake",34.08556,-118.28338,"Entire home/apt",150,2,261,"202003",2.22,2,365
"52",47078,"Villa Guest Suite 5 Minutes From Hollywood Boulevard",211786,"Judith","City of Los Angeles","Hollywood Hills",34.11366,-118.33105,"Entire home/apt",124,2,447,"202006",3.77,2,304
"53",47478,"Los Feliz-Spacious and Bright Room",215118,"Taitu","City of Los Angeles","Los Feliz",34.11036,-118.27577,"Private room",65,1,65,"201910",0.7,1,100
"54",49573,"Valley Oasis / Pvt Rm & bathroom",222063,"Pamela","City of Los Angeles","Granada Hills",34.2774,-118.47958,"Private room",49,3,182,"202003",1.62,1,346
"55",50005,"Guest House - Nightly or Weekly",49391,"Michelle","City of Los Angeles","Hollywood",34.09596,-118.34985,"Entire home/apt",130,5,112,"202003",0.95,1,89
"56",51307,"Spanish Bungalow Guest House LA CA. 30 plus nights",235568,"David","City of Los Angeles","Atwater Village",34.12026,-118.26773,"Entire home/apt",75,30,137,"202003",1.21,2,364
"57",51498,"Private Guest House -Ideal For Sheltering in Place",236758,"Bay","City of Los Angeles","Mar Vista",34.00581,-118.44356,"Entire home/apt",109,3,298,"202004",2.53,1,362
"58",51546,"Cool Pad Under the Hollywood Sign",237114,"Elen","City of Los Angeles","Hollywood Hills",34.11893,-118.32189,"Entire home/apt",100,31,179,"202003",1.53,1,365
"59",52642,"studio",243695,"Lisa","City of Los Angeles","Silver Lake",34.08976,-118.26954,"Private room",99,1,6,"201905",0.06,1,0
"60",53945,"Cheerful Beverly Hills Apartment",239905,"Michael","City of Los Angeles","Carthay",34.06132,-118.3703,"Entire home/apt",135,31,142,"201904",1.24,1,365
"61",54829,"Beautiful Venice Beach Home Oasis",257925,"Yvonne","City of Los Angeles","Venice",34.00061,-118.46353,"Entire home/apt",125,2,579,"202003",5.19,1,337
"62",55590,"Echo Park/Silverlake-Private!!!",262696,"Kalina","City of Los Angeles","Echo Park",34.07517,-118.26623,"Private room",90,2,124,"201707",1.06,1,88
"63",60940,"SHARE-Private bedroom in Charming 2 Bdrm Bungalow",294390,"Rene","City of Los Angeles","Harvard Heights",34.05076,-118.30677,"Private room",50,5,6,"201805",0.06,1,179
"64",61153,"Gorgeous Furnished Bedroom in Hollywood Hills Home",3415,"Nataraj","City of Los Angeles","Hollywood Hills West",34.11046,-118.38127,"Private room",89,3,8,"201808",0.11,2,365
"65",61578,"Find Peace at an Urban Oasis with Floor-to-Ceiling Glass",298123,"Michael","City of Los Angeles","Venice",33.99201,-118.4699,"Entire home/apt",600,30,23,"201910",0.25,2,272
"66",61582,"Tranquil Artist Retreat w/ Patio",298216,"Robin","City of Los Angeles","Glassell Park",34.11235,-118.23207,"Entire home/apt",78,30,7,"201904",0.07,2,182
"67",63416,"VIEWS! HOLLYWOOD SIGN - DOWNTOWN #1",309512,"Vincenzo","City of Los Angeles","Hollywood Hills",34.11547,-118.32416,"Private room",125,1,106,"201905",0.92,4,356
"68",64574,"Hollywood Hills Architectural Home",285079,"Paul","City of Los Angeles","Hollywood Hills",34.1273,-118.32003,"Entire home/apt",220,30,17,"202005",0.24,1,365
"69",66796,"Italian-Style Hillside Retreat with Tranquil Gardens",162151,"Constantine","City of Los Angeles","Los Feliz",34.11661,-118.28776,"Entire home/apt",395,3,39,"202005",0.34,1,139
"70",67291,"Cinema Suites Bed & Breakfast -The Casablanca Room",9073668,"Cinema Suites Bed And Breakfast","City of Los Angeles","Carthay",34.05866,-118.36462,"Hotel room",155,1,3,"201912",0.43,5,0
"72",67842,"Cinema Suites Bed and Breakfast  - Hollywood Room",9073668,"Cinema Suites Bed And Breakfast","City of Los Angeles","Mid-Wilshire",34.05848,-118.36318,"Hotel room",155,1,2,"202002",0.39,5,0
"73",67843,"Cinema Suites Bed and Breakfast  - The Small Room",9073668,"Cinema Suites Bed And Breakfast","City of Los Angeles","Carthay",34.05946,-118.36353,"Hotel room",120,1,5,"202003",0.89,5,0
"74",69838,"L.A. Lifestyle--like you live here",351521,"Sterling & Georgia","City of Los Angeles","Mid-City",34.03853,-118.33628,"Private room",97,2,590,"202004",5.24,1,345
"75",70639,"Casa Periwinkle - Garden Apartment",358936,"Nan And Dan","City of Los Angeles","Elysian Park",34.07882,-118.23393,"Entire home/apt",69,6,185,"202003",1.63,1,0
"76",71504,"Amazingly reviewed private bedroom",366343,"Boaz","City of Los Angeles","Beverlywood",34.04981,-118.39745,"Private room",70,30,152,"202002",1.33,3,222
"77",71514,"Private bedroom with great reviews",366343,"Boaz","City of Los Angeles","Beverlywood",34.04978,-118.39745,"Private room",70,30,136,"202004",1.2,3,222
"78",71972,"Melrose Place, 4 miles UCLA, 8 miles USC, West LA",159716,"Guy","City of Los Angeles","Cheviot Hills",34.03045,-118.40618,"Private room",50,30,7,"201908",0.11,1,180
"79",72186,"Large and Lovely Bedroom in a Craftsman Home",230943,"Deirdre","City of Los Angeles","Harvard Heights",34.04079,-118.30837,"Private room",49,4,26,"202005",0.24,1,302
"80",74770,"Feel Like Home, in a 700 Sf. of Open Space Guesthouse, with Weekly Maid Service.",394279,"Zeev","City of Los Angeles","Encino",34.18177,-118.52621,"Entire home/apt",109,2,110,"202005",0.97,3,320
"81",75512,"Arrival Haven II, The Artist Studio",161668,"Lane","City of Los Angeles","Mid-Wilshire",34.05832,-118.34105,"Private room",75,31,17,"201610",0.15,2,351
"82",77136,"Beautiful private master bedroom",412751,"Patrizia","City of Los Angeles","Beverly Grove",34.06579,-118.36326,"Private room",77,1,36,"201808",0.33,1,365
"83",79502,"modern minimalist *city views*patio",428171,"H.","City of Los Angeles","Silver Lake",34.08333,-118.27951,"Entire home/apt",125,3,284,"202003",2.56,2,332
"84",79832,"Guest Quarters @ the Hollywood Sign",28569,"Robert","City of Los Angeles","Hollywood Hills",34.12859,-118.3202,"Entire home/apt",110,3,480,"202003",4.27,1,178
"85",80714,"Cozy secluded Guesthouse in Garden",436647,"Cari","City of Los Angeles","Mid-Wilshire",34.05966,-118.35402,"Entire home/apt",119,3,181,"202003",1.61,1,336
"86",80734,"Hollywood Hills 1BR oasis *** 1 MONTH MINIMUM ***",436865,"Jamie","City of Los Angeles","Hollywood Hills",34.10805,-118.34111,"Entire home/apt",100,31,128,"201910",1.18,1,314
"87",84788,"Privacy is yours. Private Room Private Bath",463812,"Dawn","City of Los Angeles","North Hills",34.24135,-118.46301,"Private room",42,30,71,"201909",0.89,1,89
"88",84789,"Mid Century 4+3 Ranch- Near Malibu Beach/Calabasas",11619,"Sarah","City of Los Angeles","Woodland Hills",34.16745,-118.64428,"Entire home/apt",299,2,120,"202004",1.65,6,301
"89",85246,"Central Renovated Private Room/Bath",466662,"Natalie","City of Los Angeles","Mid-Wilshire",34.05456,-118.36349,"Private room",110,30,21,"201707",0.19,2,364
"90",85973,"Tujunga Canyon Bungalow",466847,"Heather","City of Los Angeles","Tujunga",34.25518,-118.28128,"Entire home/apt",86,30,24,"202001",0.22,3,128
"91",86674,"Vintage and private - walk to Sunset & Views",428171,"H.","City of Los Angeles","Silver Lake",34.08365,-118.27848,"Entire home/apt",125,30,261,"202003",2.43,2,342
"92",87595,"GoodVibeStudio+Venice Bch+LAX+Bikes",479630,"Corbin","City of Los Angeles","Westchester",33.96568,-118.41772,"Entire home/apt",89,2,434,"202003",3.91,2,177
"93",90986,"Vintage Charming Guest House",491953,"Cheryl Francis","City of Los Angeles","Mid-City",34.03954,-118.34113,"Entire home/apt",105,180,1,"201105",0.01,1,365
"94",92481,"Good Vibrations Home+Beach+Bikes!! ",479630,"Corbin","City of Los Angeles","Westchester",33.96781,-118.41985,"Entire home/apt",315,7,3,"202001",0.03,2,365
"95",94178,"Gorgeous 1.5 bed apt. in Echo Park",503691,"Antoine","City of Los Angeles","Echo Park",34.0695,-118.25361,"Entire home/apt",70,30,19,"201909",0.17,1,211
"96",95242,"Private Apt. in Heart of City!  S.B",465624,"Angie","City of Los Angeles","Fairfax",34.07796,-118.35706,"Entire home/apt",100,30,102,"201908",0.92,7,284
"97",96334,"Private room in a cozy creative home",511559,"Julie","City of Los Angeles","Woodland Hills",34.15668,-118.60319,"Private room",55,2,26,"201907",0.23,1,84
"98",99962,"Peaceful Private Suite in Gorgeous Penthouse",508888,"Johnny","City of Los Angeles","Hollywood Hills",34.10816,-118.33433,"Private room",51,30,14,"201912",0.22,2,292
"100",101702,"Lovely Echo Park Studio",532541,"Maiana","City of Los Angeles","Echo Park",34.07237,-118.26332,"Entire home/apt",100,2,210,"202004",1.9,2,243
"101",104010,"SUPER COZY Mid Century LA House with city view.",531528,"Matulka","City of Los Angeles","Mount Washington",34.09192,-118.21793,"Entire home/apt",199,2,251,"202005",2.72,2,260
"102",106061,"Silver Lake Cottage (Los Angeles 90026)",550078,"Darrell E","City of Los Angeles","Silver Lake",34.08767,-118.26424,"Entire home/apt",89,30,190,"201904",1.71,1,315
"103",111646,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",102117,"Ines","City of Los Angeles","North Hollywood",34.17358,-118.38673,"Private room",45,30,17,"201911",0.23,1,364
"104",113253,"Cali, Cozy, Rustic Log Cabin Feel",576425,"David","City of Los Angeles","Mid-City",34.04891,-118.37121,"Private room",80,30,12,"201910",0.21,1,345
"105",127766,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",523903,"Michelle","City of Los Angeles","Echo Park",34.09028,-118.24981,"Entire home/apt",90,28,9,"201901",0.11,4,0
"106",131079,"*3 Bdr Mod Home, walk to SunsetJunc in Silver Lake",645107,"Sophia","City of Los Angeles","Silver Lake",34.08351,-118.2786,"Entire home/apt",425,28,17,"201409",0.16,2,365
"107",131174,"Santa Monica Beach Suite 5",648867,"Anthony","City of Los Angeles","Pacific Palisades",34.02665,-118.51691,"Entire home/apt",120,30,227,"202003",3.36,4,311
"108",131557,"sweet little apt",78804,"Sophie","City of Los Angeles","Echo Park",34.08008,-118.25654,"Entire home/apt",115,30,77,"201910",0.71,6,343
"109",132908,"Spectacular Home With Breath Taking View",633484,"Alexio & Vero","City of Los Angeles","Hollywood Hills West",34.10456,-118.37002,"Entire home/apt",1050,2,222,"202006",2.21,1,324
"110",135608,"Arts District Private Room 226",57161,"Jefferson","City of Los Angeles","Downtown",34.04827,-118.23603,"Private room",48,2,104,"202003",0.97,27,282
"111",137215,"Sage in Quiet Canyon with 2 Furnished Patios",523903,"Michelle","City of Los Angeles","Echo Park",34.08916,-118.2489,"Entire home/apt",340,10,43,"202001",0.41,4,0
"112",138211,"Santa Monica/Brentwood Guest House",674917,"Julie","City of Los Angeles","Sawtelle",34.03493,-118.4629,"Entire home/apt",140,31,520,"201906",4.79,1,333
"113",138244,"The Garden of Edenhurst Guest House",675083,"Alejandra","City of Los Angeles","Atwater Village",34.12049,-118.26441,"Entire home/apt",89,14,91,"202003",0.83,5,284
"114",143210,"Cozy room1; Silverlake, Los Angeles",694988,"Peter And Diane","City of Los Angeles","Los Feliz",34.09942,-118.2764,"Private room",120,30,82,"201904",0.75,2,365
"115",150097,"CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO",647546,"Marco","City of Los Angeles","Valley Glen",34.17961,-118.40038,"Entire home/apt",75,2,195,"202003",2.1,1,219
"116",152333,"Huge 2BR:Walk to All -Grove/CBS S.D",465624,"Angie","City of Los Angeles","Fairfax",34.0779,-118.35738,"Entire home/apt",160,30,92,"201904",0.85,7,222
"117",153412,"Beautiful Venice Beach Canal house",737626,"Kaj","City of Los Angeles","Venice",33.98498,-118.46717,"Entire home/apt",275,30,61,"201911",0.57,1,90
"118",156321,"Private Mini-Suite South of Blvd",343842,"Jane","City of Los Angeles","Studio City",34.13812,-118.40791,"Private room",75,30,85,"202004",0.79,2,345
"119",164946,"Arts District Private Room 234",57161,"Jefferson","City of Los Angeles","Downtown",34.04827,-118.23603,"Private room",45,1,50,"201908",0.47,27,223
